"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CKMT2",1.64182857142857,3.9383612244898,6.31577761284916,1.7583721432857e-09,4.89106764043909e-09,10.4032770873269
"FNBP1L",0.369595918367345,8.32529285714286,6.31538881546077,1.76205008251679e-09,4.90061770138261e-09,10.4012295844789
"C9orf91",0.317811224489795,4.58523520408163,6.31310864630615,1.78377251856184e-09,4.96034354030392e-09,10.3892233312945
"DNAJB2",-0.291062244897959,5.8333637755102,-6.31234924964519,1.79106524099975e-09,4.97993198791783e-09,10.3852253578062
"SYTL5",-0.986059183673473,5.28642244897959,-6.31095593413935,1.80452188429376e-09,5.01665097253079e-09,10.3778908383663
"CADM1",-0.821718367346943,5.20652346938776,-6.30877839488195,1.82575158570367e-09,5.07496621567942e-09,10.366430252525
"C10orf78",0.324773469387761,6.56773367346939,6.30786867010449,1.83469330052744e-09,5.09911360841652e-09,10.3616430647
"SAT2",-0.32498673469388,7.68028826530612,-6.30750319575986,1.8382976529185e-09,5.10842237216206e-09,10.3597199806793
"RINL",0.623594897959183,4.38847091836735,6.30655491465719,1.84768216633863e-09,5.13378874317085e-09,10.3547305787212
"NCCRP1",-0.439508163265307,3.40485408163265,-6.30584993332181,1.85468936659763e-09,5.15254362516299e-09,10.3510216259915
"LOC100132999",0.396469387755102,4.78366326530612,6.2999526371638,1.91433690656426e-09,5.31751403899083e-09,10.3200063330086
"WDR92",0.35940408163265,5.28809081632653,6.29991429579573,1.91473080179964e-09,5.31787080998921e-09,10.3198047495261
"CCDC15",0.277515306122448,2.91311581632653,6.29982826422334,1.9156149259459e-09,5.31958882887083e-09,10.3193524331038
"PIM3",0.461713265306125,8.19995255102041,6.29958423464349,1.91812493581861e-09,5.32582076774139e-09,10.3180694544742
"NR2C1",0.343748979591838,6.24326530612245,6.29903965851672,1.92373791838695e-09,5.34066542669702e-09,10.3152064797096
"ZIC2",1.32827040816327,3.46475459183673,6.29887915000391,1.92539536477034e-09,5.34452616633564e-09,10.3143626770869
"FDPS",0.464970408163265,7.28012908163265,6.29802136298581,1.93427685579106e-09,5.3684356126437e-09,10.3098534824322
"SNORA6",0.733065306122448,2.89437142857143,6.29671981333772,1.94782990739132e-09,5.4053021934853e-09,10.3030123048565
"DCAKD",0.309246938775511,6.32968571428571,6.29630127254413,1.95220795353982e-09,5.41670109878992e-09,10.3008125789762
"RAB2B",-0.346462244897964,6.92712193877551,-6.29419747631436,1.97436094049772e-09,5.4774093229457e-09,10.2897571215777
"PRR16",0.614155102040818,3.57998979591837,6.29356640932632,1.98105406115484e-09,5.49521683842632e-09,10.2864413401697
"CCL11",-1.28477653061224,6.1842556122449,-6.29338280715048,1.98300553212832e-09,5.49986845149198e-09,10.285476690551
"ID2",-0.45989285714286,10.038537244898,-6.29129579342753,2.00532105468451e-09,5.56099068223904e-09,10.2745127905548
"GLT8D1",0.24696734693878,7.85987551020408,6.29013384817079,2.01785186145427e-09,5.59496558346205e-09,10.2684096836349
"C2orf43",0.397433673469386,5.77444846938775,6.2897740461026,2.02174764965202e-09,5.60499178874603e-09,10.2665199783255
"MYST1",0.307907142857146,7.09449030612245,6.28924472097611,2.02749238751211e-09,5.62014044541721e-09,10.2637400566971
