"","value","group","gsm"
"GSM308361",444.06,"low","GSM308361"
"GSM308362",749.064,"high","GSM308362"
"GSM308363",972.612,"high","GSM308363"
"GSM308364",1625.064,"high","GSM308364"
"GSM308365",797.664,"high","GSM308365"
"GSM308366",1208.532,"high","GSM308366"
"GSM308367",755.196,"high","GSM308367"
"GSM308368",949.668,"high","GSM308368"
"GSM308369",627.396,"low","GSM308369"
"GSM308370",1162.692,"high","GSM308370"
"GSM308371",660.78,"low","GSM308371"
"GSM308372",750.72,"high","GSM308372"
"GSM308373",738.552,"high","GSM308373"
"GSM308374",1213.992,"high","GSM308374"
"GSM308375",594.876,"low","GSM308375"
"GSM308376",525.108,"low","GSM308376"
"GSM308377",633.876,"low","GSM308377"
"GSM308378",394.992,"low","GSM308378"
"GSM308379",312.276,"low","GSM308379"
"GSM308380",447.156,"low","GSM308380"
"GSM308381",671.112,"low","GSM308381"
"GSM308382",459.216,"low","GSM308382"
"GSM308383",965.22,"high","GSM308383"
"GSM308384",929.484,"high","GSM308384"
"GSM308385",892.248,"high","GSM308385"
"GSM308386",63.66,"low","GSM308386"
"GSM308387",678.672,"low","GSM308387"
"GSM308388",712.752,"high","GSM308388"
"GSM308389",1103.904,"high","GSM308389"
"GSM308390",1216.344,"high","GSM308390"
"GSM308391",719.94,"high","GSM308391"
"GSM308392",782.304,"high","GSM308392"
"GSM308393",1322.328,"high","GSM308393"
"GSM308394",477.672,"low","GSM308394"
"GSM308395",1179,"high","GSM308395"
"GSM308396",718.284,"high","GSM308396"
"GSM308397",842.28,"high","GSM308397"
"GSM308398",401.424,"low","GSM308398"
"GSM308399",1009.74,"high","GSM308399"
"GSM308400",785.556,"high","GSM308400"
"GSM308401",680.328,"low","GSM308401"
"GSM308402",822.264,"high","GSM308402"
"GSM308403",466.68,"low","GSM308403"
"GSM308404",600.132,"low","GSM308404"
"GSM308405",815.772,"high","GSM308405"
"GSM308406",923.124,"high","GSM308406"
"GSM308407",576.6,"low","GSM308407"
"GSM308408",46.764,"low","GSM308408"
"GSM308409",1204.32,"high","GSM308409"
"GSM308410",816.288,"high","GSM308410"
"GSM308411",1235.784,"high","GSM308411"
"GSM308412",949.392,"high","GSM308412"
"GSM308413",909.829792,"high","GSM308413"
"GSM308414",972.4573615,"high","GSM308414"
"GSM308415",435.2898001,"low","GSM308415"
"GSM308416",231.8797186,"low","GSM308416"
"GSM308417",276.0562151,"low","GSM308417"
"GSM308418",704.4784267,"low","GSM308418"
"GSM308419",1303.655445,"high","GSM308419"
"GSM308420",298.3945681,"low","GSM308420"
"GSM308421",991.0743843,"high","GSM308421"
"GSM308422",708.5980278,"high","GSM308422"
"GSM308423",380.5070376,"low","GSM308423"
"GSM308424",631.4806609,"low","GSM308424"
"GSM308425",396.8653718,"low","GSM308425"
"GSM308426",776.9024594,"high","GSM308426"
"GSM308427",338.2619552,"low","GSM308427"
"GSM308428",1117.972202,"high","GSM308428"
"GSM308429",560.8321875,"low","GSM308429"
"GSM308430",769.4980709,"high","GSM308430"
"GSM308431",644.17827,"low","GSM308431"
"GSM308432",525.4810064,"low","GSM308432"
"GSM308433",1148.531124,"high","GSM308433"
"GSM308434",322.0102916,"low","GSM308434"
"GSM308435",1097.740207,"high","GSM308435"
"GSM308436",447.205567,"low","GSM308436"
"GSM308437",1014.917629,"high","GSM308437"
"GSM308438",860.4220905,"high","GSM308438"
"GSM308439",560.8313285,"low","GSM308439"
"GSM308440",997.5160555,"high","GSM308440"
"GSM308441",1003.529017,"high","GSM308441"
"GSM308442",478.9013669,"low","GSM308442"
"GSM308443",438.4770693,"low","GSM308443"
"GSM308444",1305.222635,"high","GSM308444"
"GSM308445",464.2034136,"low","GSM308445"
"GSM308446",966.0734542,"high","GSM308446"
"GSM308447",1539.264123,"high","GSM308447"
"GSM308448",852.5260521,"high","GSM308448"
"GSM308449",350.3892186,"low","GSM308449"
"GSM308450",745.1626646,"high","GSM308450"
"GSM308451",220.5568434,"low","GSM308451"
"GSM308452",373.5745381,"low","GSM308452"
"GSM308453",1287.208064,"high","GSM308453"
"GSM308454",1225.957631,"high","GSM308454"
"GSM308455",936.1108808,"high","GSM308455"
"GSM308456",1028.544015,"high","GSM308456"
"GSM308457",588.4432696,"low","GSM308457"
"GSM308458",222.8921458,"low","GSM308458"
"GSM308459",312.1770744,"low","GSM308459"
"GSM308460",378.5465042,"low","GSM308460"
"GSM107072",6.6105905138708,"low","GSM107072"
"GSM107073",4.87109534098634,"low","GSM107073"
"GSM107074",5.83887626029152,"low","GSM107074"
"GSM107075",7.38968449551373,"high","GSM107075"
"GSM107076",5.33293791378964,"low","GSM107076"
"GSM107077",4.7247750668685,"low","GSM107077"
"GSM107078",7.0832316325064,"high","GSM107078"
"GSM107079",6.09571391649261,"low","GSM107079"
"GSM107080",6.21507898553112,"low","GSM107080"
"GSM107081",5.59916264464041,"low","GSM107081"
"GSM107082",7.32087951339744,"high","GSM107082"
"GSM107083",6.62471631159998,"low","GSM107083"
"GSM107084",5.14500703251334,"low","GSM107084"
"GSM107085",7.58662030583932,"high","GSM107085"
"GSM107086",4.98496807020069,"low","GSM107086"
"GSM107087",5.16627773821732,"low","GSM107087"
"GSM107088",5.41281210094584,"low","GSM107088"
"GSM107089",7.00281491789957,"high","GSM107089"
"GSM107090",5.11177398096002,"low","GSM107090"
"GSM107091",5.34040459311132,"low","GSM107091"
